feat1,feat1_with_others_cor,feat2,feat2_with_others_cor,excluded_feat
comm_exp_message_service,0.215,comm_exp_persistence_object,0.215,comm_exp_message_service
comm_exp_method_encapsulation,0.191,comm_exp_advanced_class_design,0.185,comm_exp_method_encapsulation
comm_exp_data_type,0.179,comm_exp_operator_decision,0.18,comm_exp_operator_decision
comm_exp_inheritance,0.169,comm_exp_data_type,0.172,comm_exp_data_type
comm_exp_inheritance,0.162,comm_exp_advanced_class_design,0.165,comm_exp_advanced_class_design
comm_exp_string_processing,0.17,comm_exp_generic_collection,0.172,comm_exp_generic_collection
other_proj_dim_operator_decision,0.246,other_proj_dim_data_type,0.249,other_proj_dim_data_type
other_proj_dim_operator_decision,0.239,other_proj_dim_inheritance,0.237,other_proj_dim_operator_decision
comm_exp_inheritance,0.149,comm_exp_exception_handling,0.158,comm_exp_exception_handling
other_proj_dim_advanced_class_design,0.237,other_proj_dim_method_encapsulation,0.245,other_proj_dim_method_encapsulation
comm_exp_inheritance,0.142,comm_exp_loop,0.132,comm_exp_inheritance
prev_exp_operator_decision,0.215,prev_exp_method_encapsulation,0.221,prev_exp_method_encapsulation
comm_exp_array,0.138,comm_exp_loop,0.125,comm_exp_array
other_proj_dim_advanced_class_design,0.23,other_proj_dim_inheritance,0.225,other_proj_dim_advanced_class_design
other_proj_dim_loop,0.213,other_proj_dim_inheritance,0.218,other_proj_dim_inheritance
other_proj_dim_string_processing,0.236,other_proj_dim_generic_collection,0.235,other_proj_dim_string_processing
other_proj_dim_exception_handling,0.223,other_proj_dim_generic_collection,0.228,other_proj_dim_generic_collection
other_proj_dim_loop,0.192,other_proj_dim_array,0.197,other_proj_dim_array
proj_dim_operator_decision,0.166,proj_dim_inheritance,0.168,proj_dim_inheritance
comm_exp_string_processing,0.146,comm_exp_java_io,0.157,comm_exp_java_io
proj_dim_loop,0.165,proj_dim_operator_decision,0.159,proj_dim_loop
proj_dim_method_encapsulation,0.164,proj_dim_advanced_class_design,0.156,proj_dim_method_encapsulation
prev_exp_operator_decision,0.199,prev_exp_data_type,0.201,prev_exp_data_type
comm_exp_concurrency,0.128,comm_exp_string_processing,0.139,comm_exp_string_processing
prev_exp_inheritance,0.189,prev_exp_operator_decision,0.192,prev_exp_operator_decision
proj_dim_data_type,0.147,proj_dim_operator_decision,0.145,proj_dim_data_type
other_proj_dim_java_io,0.209,other_proj_dim_exception_handling,0.204,other_proj_dim_java_io
other_proj_dim_loop,0.169,other_proj_dim_exception_handling,0.196,other_proj_dim_exception_handling
comm_exp_concurrency,0.12,comm_exp_loop,0.102,comm_exp_concurrency
prev_exp_inheritance,0.176,prev_exp_advanced_class_design,0.183,prev_exp_advanced_class_design
comm_exp_persistence_object,0.209,comm_exp_rest_api,0.205,comm_exp_persistence_object
proj_dim_string_processing,0.18,proj_dim_generic_collection,0.183,proj_dim_generic_collection
proj_dim_array,0.126,proj_dim_operator_decision,0.13,proj_dim_operator_decision
other_proj_dim_loop,0.158,other_proj_dim_concurrency,0.176,other_proj_dim_concurrency
prev_exp_inheritance,0.167,prev_exp_exception_handling,0.186,prev_exp_exception_handling
proj_dim_concurrency,0.134,proj_dim_exception_handling,0.16,proj_dim_exception_handling
comm_exp_functional_interface,0.205,comm_exp_rest_api,0.202,comm_exp_functional_interface
prev_exp_loop,0.153,prev_exp_inheritance,0.161,prev_exp_inheritance
proj_dim_message_service,0.207,proj_dim_persistence_object,0.202,proj_dim_message_service
proj_dim_string_processing,0.158,proj_dim_java_io,0.16,proj_dim_java_io
data_type,0.126,operator_decision,0.137,operator_decision
proj_dim_string_processing,0.151,proj_dim_advanced_class_design,0.114,proj_dim_string_processing
prev_exp_string_processing,0.169,prev_exp_generic_collection,0.168,prev_exp_string_processing
proj_dim_advanced_class_design,0.105,proj_dim_array,0.096,proj_dim_advanced_class_design
prev_exp_loop,0.14,prev_exp_generic_collection,0.16,prev_exp_generic_collection
proj_dim_websocket_api,0.178,proj_dim_rest_api,0.179,proj_dim_rest_api
other_proj_dim_loop,0.132,other_proj_dim_localization,0.181,other_proj_dim_localization
comm_exp_servlet_web,0.165,comm_exp_java_nio,0.163,comm_exp_servlet_web
advanced_class_design,0.11,method_encapsulation,0.115,method_encapsulation
prev_exp_loop,0.13,prev_exp_array,0.124,prev_exp_loop
comm_exp_loop,0.089,comm_exp_localization,0.149,comm_exp_localization
loop,0.126,data_type,0.113,loop
comm_exp_stream_api,0.154,comm_exp_data_base,0.183,comm_exp_data_base
proj_dim_array,0.088,proj_dim_concurrency,0.104,proj_dim_concurrency
comm_exp_date_time_api,0.148,comm_exp_rest_api,0.173,comm_exp_rest_api
other_proj_dim_message_service,0.17,other_proj_dim_persistence_object,0.195,other_proj_dim_persistence_object
data_type,0.105,inheritance,0.112,inheritance
proj_dim_date_time_api,0.089,proj_dim_functional_interface,0.084,proj_dim_date_time_api
proj_dim_data_base,0.164,proj_dim_servlet_web,0.163,proj_dim_data_base
proj_dim_websocket_api,0.151,proj_dim_persistence_object,0.165,proj_dim_persistence_object
other_proj_dim_functional_interface,0.118,other_proj_dim_stream_api,0.132,other_proj_dim_stream_api
proj_dim_functional_interface,0.07,proj_dim_stream_api,0.078,proj_dim_stream_api
prev_exp_java_io,0.151,prev_exp_array,0.125,prev_exp_java_io
comm_exp_stream_api,0.129,comm_exp_date_time_api,0.128,comm_exp_stream_api
other_proj_dim_servlet_web,0.17,other_proj_dim_data_base,0.163,other_proj_dim_servlet_web
prev_exp_websocket_api,0.108,prev_exp_jfs_web_application,0.097,prev_exp_websocket_api
